Compiling VVP ...
 ... VVP file version 11.0 (devel)
Compile cleanup...
 ...       82 functors (net_fun pool=524288 bytes)
                 22 logic
                  0 bufif
                  0 resolv
                  2 signals
 ...       76 filters (net_fil pool=524288 bytes)
 ...      128 opcodes (24576 bytes)
 ...       11 nets
 ...       82 vvp_nets (1048544 bytes)
 ...        0 arrays (0 words)
 ...        0 memories
                  0 logic (0 words)
                  0 real (0 words)
 ...        3 scopes
Running ...
 ...execute EndOfCompile callbacks
 ...propagate initialization events
 ...execute StartOfSim callbacks
 ...run scheduler
Time  s..   d......  o
----  ---  --------  -
   0  000  00000000  0
   1  000  00000001  0
   2  000  00000010  0
   3  000  00000011  0
   4  000  00000100  0
   5  000  00000101  0
   6  000  00000110  0
   7  000  00000111  0
   8  000  00001000  0
   9  000  00001001  0
  10  000  00001010  0
  11  000  00001011  0
  12  000  00001100  0
  13  000  00001101  0
  14  000  00001110  0
  15  000  00001111  0
  16  000  00010000  0
  17  000  00010001  0
  18  000  00010010  0
  19  000  00010011  0
  20  000  00010100  0
  21  000  00010101  0
  22  000  00010110  0
  23  000  00010111  0
  24  000  00011000  0
  25  000  00011001  0
  26  000  00011010  0
  27  000  00011011  0
  28  000  00011100  0
  29  000  00011101  0
  30  000  00011110  0
  31  000  00011111  0
  32  000  00100000  0
  33  000  00100001  0
  34  000  00100010  0
  35  000  00100011  0
  36  000  00100100  0
  37  000  00100101  0
  38  000  00100110  0
  39  000  00100111  0
  40  000  00101000  0
  41  000  00101001  0
  42  000  00101010  0
  43  000  00101011  0
  44  000  00101100  0
  45  000  00101101  0
  46  000  00101110  0
  47  000  00101111  0
  48  000  00110000  0
  49  000  00110001  0
  50  000  00110010  0
  51  000  00110011  0
  52  000  00110100  0
  53  000  00110101  0
  54  000  00110110  0
  55  000  00110111  0
  56  000  00111000  0
  57  000  00111001  0
  58  000  00111010  0
  59  000  00111011  0
  60  000  00111100  0
  61  000  00111101  0
  62  000  00111110  0
  63  000  00111111  0
  64  000  01000000  0
  65  000  01000001  0
  66  000  01000010  0
  67  000  01000011  0
  68  000  01000100  0
  69  000  01000101  0
  70  000  01000110  0
  71  000  01000111  0
  72  000  01001000  0
  73  000  01001001  0
  74  000  01001010  0
  75  000  01001011  0
  76  000  01001100  0
  77  000  01001101  0
  78  000  01001110  0
  79  000  01001111  0
  80  000  01010000  0
  81  000  01010001  0
  82  000  01010010  0
  83  000  01010011  0
  84  000  01010100  0
  85  000  01010101  0
  86  000  01010110  0
  87  000  01010111  0
  88  000  01011000  0
  89  000  01011001  0
  90  000  01011010  0
  91  000  01011011  0
  92  000  01011100  0
  93  000  01011101  0
  94  000  01011110  0
  95  000  01011111  0
  96  000  01100000  0
  97  000  01100001  0
  98  000  01100010  0
  99  000  01100011  0
 100  000  01100100  0
 101  000  01100101  0
 102  000  01100110  0
 103  000  01100111  0
 104  000  01101000  0
 105  000  01101001  0
 106  000  01101010  0
 107  000  01101011  0
 108  000  01101100  0
 109  000  01101101  0
 110  000  01101110  0
 111  000  01101111  0
 112  000  01110000  0
 113  000  01110001  0
 114  000  01110010  0
 115  000  01110011  0
 116  000  01110100  0
 117  000  01110101  0
 118  000  01110110  0
 119  000  01110111  0
 120  000  01111000  0
 121  000  01111001  0
 122  000  01111010  0
 123  000  01111011  0
 124  000  01111100  0
 125  000  01111101  0
 126  000  01111110  0
 127  000  01111111  0
 128  000  10000000  1
 129  000  10000001  1
 130  000  10000010  1
 131  000  10000011  1
 132  000  10000100  1
 133  000  10000101  1
 134  000  10000110  1
 135  000  10000111  1
 136  000  10001000  1
 137  000  10001001  1
 138  000  10001010  1
 139  000  10001011  1
 140  000  10001100  1
 141  000  10001101  1
 142  000  10001110  1
 143  000  10001111  1
 144  000  10010000  1
 145  000  10010001  1
 146  000  10010010  1
 147  000  10010011  1
 148  000  10010100  1
 149  000  10010101  1
 150  000  10010110  1
 151  000  10010111  1
 152  000  10011000  1
 153  000  10011001  1
 154  000  10011010  1
 155  000  10011011  1
 156  000  10011100  1
 157  000  10011101  1
 158  000  10011110  1
 159  000  10011111  1
 160  000  10100000  1
 161  000  10100001  1
 162  000  10100010  1
 163  000  10100011  1
 164  000  10100100  1
 165  000  10100101  1
 166  000  10100110  1
 167  000  10100111  1
 168  000  10101000  1
 169  000  10101001  1
 170  000  10101010  1
 171  000  10101011  1
 172  000  10101100  1
 173  000  10101101  1
 174  000  10101110  1
 175  000  10101111  1
 176  000  10110000  1
 177  000  10110001  1
 178  000  10110010  1
 179  000  10110011  1
 180  000  10110100  1
 181  000  10110101  1
 182  000  10110110  1
 183  000  10110111  1
 184  000  10111000  1
 185  000  10111001  1
 186  000  10111010  1
 187  000  10111011  1
 188  000  10111100  1
 189  000  10111101  1
 190  000  10111110  1
 191  000  10111111  1
 192  000  11000000  1
 193  000  11000001  1
 194  000  11000010  1
 195  000  11000011  1
 196  000  11000100  1
 197  000  11000101  1
 198  000  11000110  1
 199  000  11000111  1
 200  000  11001000  1
 201  000  11001001  1
 202  000  11001010  1
 203  000  11001011  1
 204  000  11001100  1
 205  000  11001101  1
 206  000  11001110  1
 207  000  11001111  1
 208  000  11010000  1
 209  000  11010001  1
 210  000  11010010  1
 211  000  11010011  1
 212  000  11010100  1
 213  000  11010101  1
 214  000  11010110  1
 215  000  11010111  1
 216  000  11011000  1
 217  000  11011001  1
 218  000  11011010  1
 219  000  11011011  1
 220  000  11011100  1
 221  000  11011101  1
 222  000  11011110  1
 223  000  11011111  1
 224  000  11100000  1
 225  000  11100001  1
 226  000  11100010  1
 227  000  11100011  1
 228  000  11100100  1
 229  000  11100101  1
 230  000  11100110  1
 231  000  11100111  1
 232  000  11101000  1
 233  000  11101001  1
 234  000  11101010  1
 235  000  11101011  1
 236  000  11101100  1
 237  000  11101101  1
 238  000  11101110  1
 239  000  11101111  1
 240  000  11110000  1
 241  000  11110001  1
 242  000  11110010  1
 243  000  11110011  1
 244  000  11110100  1
 245  000  11110101  1
 246  000  11110110  1
 247  000  11110111  1
 248  000  11111000  1
 249  000  11111001  1
 250  000  11111010  1
 251  000  11111011  1
 252  000  11111100  1
 253  000  11111101  1
 254  000  11111110  1
 255  000  11111111  1
 256  001  00000000  0
 257  001  00000001  0
 258  001  00000010  0
 259  001  00000011  0
 260  001  00000100  0
 261  001  00000101  0
 262  001  00000110  0
 263  001  00000111  0
 264  001  00001000  0
 265  001  00001001  0
 266  001  00001010  0
 267  001  00001011  0
 268  001  00001100  0
 269  001  00001101  0
 270  001  00001110  0
 271  001  00001111  0
 272  001  00010000  0
 273  001  00010001  0
 274  001  00010010  0
 275  001  00010011  0
 276  001  00010100  0
 277  001  00010101  0
 278  001  00010110  0
 279  001  00010111  0
 280  001  00011000  0
 281  001  00011001  0
 282  001  00011010  0
 283  001  00011011  0
 284  001  00011100  0
 285  001  00011101  0
 286  001  00011110  0
 287  001  00011111  0
 288  001  00100000  0
 289  001  00100001  0
 290  001  00100010  0
 291  001  00100011  0
 292  001  00100100  0
 293  001  00100101  0
 294  001  00100110  0
 295  001  00100111  0
 296  001  00101000  0
 297  001  00101001  0
 298  001  00101010  0
 299  001  00101011  0
 300  001  00101100  0
 301  001  00101101  0
 302  001  00101110  0
 303  001  00101111  0
 304  001  00110000  0
 305  001  00110001  0
 306  001  00110010  0
 307  001  00110011  0
 308  001  00110100  0
 309  001  00110101  0
 310  001  00110110  0
 311  001  00110111  0
 312  001  00111000  0
 313  001  00111001  0
 314  001  00111010  0
 315  001  00111011  0
 316  001  00111100  0
 317  001  00111101  0
 318  001  00111110  0
 319  001  00111111  0
 320  001  01000000  1
 321  001  01000001  1
 322  001  01000010  1
 323  001  01000011  1
 324  001  01000100  1
 325  001  01000101  1
 326  001  01000110  1
 327  001  01000111  1
 328  001  01001000  1
 329  001  01001001  1
 330  001  01001010  1
 331  001  01001011  1
 332  001  01001100  1
 333  001  01001101  1
 334  001  01001110  1
 335  001  01001111  1
 336  001  01010000  1
 337  001  01010001  1
 338  001  01010010  1
 339  001  01010011  1
 340  001  01010100  1
 341  001  01010101  1
 342  001  01010110  1
 343  001  01010111  1
 344  001  01011000  1
 345  001  01011001  1
 346  001  01011010  1
 347  001  01011011  1
 348  001  01011100  1
 349  001  01011101  1
 350  001  01011110  1
 351  001  01011111  1
 352  001  01100000  1
 353  001  01100001  1
